txn_id,customer_id,amount,txn_date,txn_hour,src_country,dst_country,channel,is_cash,aml_score,risk_tier,structuring_flag,off_hours_flag,is_cross_border,fatf_flag,pep_flag,previously_flagged,account_age_days,customer_risk_score,unique_counterparties,rolling_3txn_amount
TXN019,CUST008,99500.0,2024-01-15,22,DE,IR,wire,1,100.0,CRITICAL,1,0,1,1,1,1,5,0.97,1,99500.0
TXN020,CUST008,99800.0,2024-01-15,23,DE,IR,wire,1,100.0,CRITICAL,1,0,1,1,1,1,5,0.97,2,199300.0
TXN038,CUST016,49900.0,2024-01-15,1,FR,SY,wire,1,100.0,CRITICAL,1,1,1,1,1,1,7,0.96,1,49900.0
TXN039,CUST016,49700.0,2024-01-15,2,FR,SY,wire,1,100.0,CRITICAL,1,1,1,1,1,1,7,0.96,2,99600.0
TXN040,CUST016,49600.0,2024-01-15,3,FR,SY,wire,1,100.0,CRITICAL,1,1,1,1,1,1,7,0.96,3,149200.0
TXN047,CUST020,9850.0,2024-01-15,3,US,KP,wire,1,100.0,CRITICAL,1,1,1,1,1,1,3,0.99,1,9850.0
TXN048,CUST020,9750.0,2024-01-15,4,US,KP,wire,1,100.0,CRITICAL,1,1,1,1,1,1,3,0.99,2,19600.0
TXN049,CUST020,9900.0,2024-01-15,5,US,KP,wire,1,100.0,CRITICAL,1,1,1,1,1,1,3,0.99,3,29500.0
TXN050,CUST020,9800.0,2024-01-15,5,US,KP,wire,1,100.0,CRITICAL,1,1,1,1,1,1,3,0.99,4,29450.0
TXN008,CUST004,49800.0,2024-01-15,23,GB,RU,wire,1,95.0,CRITICAL,1,0,1,0,1,1,8,0.95,1,49800.0
TXN009,CUST004,49500.0,2024-01-15,23,GB,RU,wire,1,95.0,CRITICAL,1,0,1,0,1,1,8,0.95,2,99300.0
TXN003,CUST002,9850.0,2024-01-15,2,US,NG,branch,1,85.0,CRITICAL,1,1,1,0,0,1,15,0.92,1,9850.0
TXN004,CUST002,9750.0,2024-01-15,3,US,NG,branch,1,85.0,CRITICAL,1,1,1,0,0,1,15,0.92,2,19600.0
TXN005,CUST002,9900.0,2024-01-15,4,US,NG,branch,1,85.0,CRITICAL,1,1,1,0,0,1,15,0.92,3,29500.0
TXN013,CUST006,9950.0,2024-01-15,1,US,CN,wire,1,85.0,CRITICAL,1,1,1,0,0,1,22,0.88,1,9950.0
TXN014,CUST006,9800.0,2024-01-15,2,US,CN,wire,1,85.0,CRITICAL,1,1,1,0,0,1,22,0.88,2,19750.0
TXN015,CUST006,9700.0,2024-01-15,3,US,CN,wire,1,85.0,CRITICAL,1,1,1,0,0,1,22,0.88,3,29450.0
TXN016,CUST006,9600.0,2024-01-15,4,US,CN,wire,1,85.0,CRITICAL,1,1,1,0,0,1,22,0.88,4,29100.0
TXN043,CUST018,9500.0,2024-01-15,23,US,VE,wire,1,75.0,CRITICAL,1,0,1,0,0,1,18,0.87,1,9500.0
TXN044,CUST018,9600.0,2024-01-15,23,US,VE,wire,1,75.0,CRITICAL,1,0,1,0,0,1,18,0.87,2,19100.0
TXN024,CUST010,9850.0,2024-01-15,5,US,AE,wire,1,70.0,CRITICAL,1,1,1,0,0,1,30,0.85,1,9850.0
TXN025,CUST010,9920.0,2024-01-15,5,US,AE,wire,1,70.0,CRITICAL,1,1,1,0,0,1,30,0.85,2,19770.0
TXN034,CUST014,9990.0,2024-01-15,4,US,MX,branch,1,70.0,CRITICAL,1,1,1,0,0,1,45,0.8,1,9990.0
TXN035,CUST014,9970.0,2024-01-15,4,US,MX,branch,1,70.0,CRITICAL,1,1,1,0,0,1,45,0.8,2,19960.0
TXN029,CUST012,75000.0,2024-01-15,2,US,PK,wire,1,65.0,HIGH,0,1,1,0,0,1,12,0.91,1,75000.0
TXN030,CUST012,80000.0,2024-01-15,3,US,PK,wire,1,65.0,HIGH,0,1,1,0,0,1,12,0.91,2,155000.0
TXN026,CUST010,9780.0,2024-01-15,6,US,AE,wire,1,60.0,HIGH,1,0,1,0,0,1,30,0.85,3,29550.0
