customer_id,account_age_days,previously_flagged,customer_risk_score,occupation,annual_income,pep_flag,nationality
CUST001,1825,0,0.10,engineer,85000,0,US
CUST002,15,1,0.92,unemployed,12000,0,NG
CUST003,730,0,0.08,teacher,55000,0,US
CUST004,8,1,0.95,trader,unknown,1,RU
CUST005,1200,0,0.05,nurse,62000,0,US
CUST006,22,1,0.88,businessman,unknown,0,CN
CUST007,950,0,0.12,accountant,75000,0,US
CUST008,5,1,0.97,politician,unknown,1,IR
CUST009,600,0,0.07,student,18000,0,US
CUST010,30,1,0.85,consultant,unknown,0,AE
CUST011,400,0,0.09,salesperson,48000,0,US
CUST012,12,1,0.91,importer,unknown,0,PK
CUST013,2100,0,0.04,doctor,140000,0,US
CUST014,45,1,0.80,courier,25000,0,MX
CUST015,800,0,0.11,manager,95000,0,US
CUST016,7,1,0.96,diplomat,unknown,1,SY
CUST017,1500,0,0.06,clerk,42000,0,US
CUST018,18,1,0.87,trader,unknown,0,VE
CUST019,920,0,0.09,analyst,88000,0,US
CUST020,3,1,0.99,unknown,unknown,1,KP
