txn_id,customer_id,amount,txn_date,txn_hour,src_country,dst_country,is_cash,counterparty_id,channel
TXN001,CUST001,1200.00,2024-01-15,10,US,US,0,CP001,online
TXN002,CUST001,850.00,2024-01-15,11,US,US,0,CP002,online
TXN003,CUST002,9850.00,2024-01-15,2,US,NG,1,CP003,branch
TXN004,CUST002,9750.00,2024-01-15,3,US,NG,1,CP004,branch
TXN005,CUST002,9900.00,2024-01-15,4,US,NG,1,CP005,branch
TXN006,CUST003,500.00,2024-01-15,14,US,US,0,CP006,atm
TXN007,CUST003,750.00,2024-01-16,9,US,US,0,CP007,online
TXN008,CUST004,49800.00,2024-01-15,23,GB,RU,1,CP008,wire
TXN009,CUST004,49500.00,2024-01-15,23,GB,RU,1,CP009,wire
TXN010,CUST005,200.00,2024-01-15,13,US,US,0,CP010,online
TXN011,CUST005,350.00,2024-01-16,15,US,US,0,CP011,online
TXN012,CUST005,180.00,2024-01-17,11,US,US,0,CP012,online
TXN013,CUST006,9950.00,2024-01-15,1,US,CN,1,CP013,wire
TXN014,CUST006,9800.00,2024-01-15,2,US,CN,1,CP014,wire
TXN015,CUST006,9700.00,2024-01-15,3,US,CN,1,CP015,wire
TXN016,CUST006,9600.00,2024-01-15,4,US,CN,1,CP016,wire
TXN017,CUST007,3000.00,2024-01-15,10,US,US,0,CP017,online
TXN018,CUST007,2500.00,2024-01-16,11,US,US,0,CP018,online
TXN019,CUST008,99500.00,2024-01-15,22,DE,IR,1,CP019,wire
TXN020,CUST008,99800.00,2024-01-15,23,DE,IR,1,CP020,wire
TXN021,CUST009,1500.00,2024-01-15,9,US,US,0,CP021,online
TXN022,CUST009,1200.00,2024-01-16,10,US,US,0,CP022,online
TXN023,CUST009,900.00,2024-01-17,14,US,US,0,CP023,online
TXN024,CUST010,9850.00,2024-01-15,5,US,AE,1,CP024,wire
TXN025,CUST010,9920.00,2024-01-15,5,US,AE,1,CP025,wire
TXN026,CUST010,9780.00,2024-01-15,6,US,AE,1,CP026,wire
TXN027,CUST011,450.00,2024-01-15,12,US,US,0,CP027,atm
TXN028,CUST011,600.00,2024-01-16,13,US,US,0,CP028,atm
TXN029,CUST012,75000.00,2024-01-15,2,US,PK,1,CP029,wire
TXN030,CUST012,80000.00,2024-01-15,3,US,PK,1,CP030,wire
TXN031,CUST013,250.00,2024-01-15,10,US,US,0,CP031,online
TXN032,CUST013,300.00,2024-01-16,11,US,US,0,CP032,online
TXN033,CUST013,275.00,2024-01-17,15,US,US,0,CP033,online
TXN034,CUST014,9990.00,2024-01-15,4,US,MX,1,CP034,branch
TXN035,CUST014,9970.00,2024-01-15,4,US,MX,1,CP035,branch
TXN036,CUST015,1800.00,2024-01-15,11,US,US,0,CP036,online
TXN037,CUST015,2200.00,2024-01-16,10,US,US,0,CP037,online
TXN038,CUST016,49900.00,2024-01-15,1,FR,SY,1,CP038,wire
TXN039,CUST016,49700.00,2024-01-15,2,FR,SY,1,CP039,wire
TXN040,CUST016,49600.00,2024-01-15,3,FR,SY,1,CP040,wire
TXN041,CUST017,400.00,2024-01-15,14,US,US,0,CP041,atm
TXN042,CUST017,550.00,2024-01-17,9,US,US,0,CP042,atm
TXN043,CUST018,9500.00,2024-01-15,23,US,VE,1,CP043,wire
TXN044,CUST018,9600.00,2024-01-15,23,US,VE,1,CP044,wire
TXN045,CUST019,2000.00,2024-01-15,10,US,US,0,CP045,online
TXN046,CUST019,1500.00,2024-01-16,11,US,US,0,CP046,online
TXN047,CUST020,9850.00,2024-01-15,3,US,KP,1,CP047,wire
TXN048,CUST020,9750.00,2024-01-15,4,US,KP,1,CP048,wire
TXN049,CUST020,9900.00,2024-01-15,5,US,KP,1,CP049,wire
TXN050,CUST020,9800.00,2024-01-15,5,US,KP,1,CP050,wire
